dob_yy,birth_month,dob_mm,percent_above_avg
2019,December,12,-1.13
2019,November,11,-4.6
2019,October,10,3.82
2019,September,9,3.93
2019,August,8,9.09
2019,July,7,6.43
2019,June,6,-2.89
2019,May,5,0.74
2019,April,4,-4.89
2019,March,3,-3.21
2019,February,2,-11.21
2019,January,1,-1.51
2018,December,12,-1.65
2018,November,11,-2.44
2018,October,10,3.1
2018,September,9,1.75
2018,August,8,8.26
2018,July,7,3.1
2018,June,6,-1.51
2018,May,5,0.09
2018,April,4,-6.91
2018,March,3,-1.44
2018,February,2,-11.44
2018,January,1,-2.03
2017,December,12,-1.65
2017,November,11,-1.71
2017,October,10,2.39
2017,September,9,4.6
2017,August,8,9.01
2017,July,7,3.51
2017,June,6,-0.11
2017,May,5,-0.78
2017,April,4,-7.77
2017,March,3,-2.12
2017,February,2,-11.68
2017,January,1,-4.51
2016,December,12,-1.25
2016,November,11,-3.13
2016,October,10,0.42
2016,September,9,4.63
2016,August,8,8.26
2016,July,7,3.86
2016,June,6,0.42
2016,May,5,-0.96
2016,April,4,-5.23
2016,March,3,-0.88
2016,February,2,-7.68
2016,January,1,-4.27
2015,December,12,1.26
2015,November,11,-3.97
2015,October,10,2.15
2015,September,9,4.62
2015,August,8,5.88
2015,July,7,6.3
2015,June,6,-0.65
2015,May,5,-1.34
2015,April,4,-3.63
2015,March,3,-1.16
2015,February,2,-10.3
2015,January,1,-1.92
2014,December,12,2.49
2014,November,11,-4.19
2014,October,10,3.45
2014,September,9,5.07
2014,August,8,7.1
2014,July,7,7.5
2014,June,6,-1.3
2014,May,5,1.49
2014,April,4,-3.12
2014,March,3,-1.56
2014,February,2,-9.15
2014,January,1,-0.45
2013,December,12,2.41
2013,November,11,-2.51
2013,October,10,4.07
2013,September,9,3.18
2013,August,8,7.83
2013,July,7,6.29
2013,June,6,-2.61
2013,May,5,0.16
2013,April,4,-5.29
2013,March,3,-2.47
2013,February,2,-11.3
2013,January,1,-1.92
2012,December,12,-1.55
2012,November,11,-1.36
2012,October,10,4.92
2012,September,9,3.75
2012,August,8,9.99
2012,July,7,5.86
2012,June,6,-0.28
2012,May,5,0.37
2012,April,4,-6.68
2012,March,3,-1.48
2012,February,2,-7.64
2012,January,1,-3.88
2011,December,12,-0.64
2011,November,11,-2.7
2011,October,10,-0.69
2011,September,9,4.24
2011,August,8,8.26
2011,July,7,4.34
2011,June,6,1.85
2011,May,5,-1.3
2011,April,4,-5.37
2011,March,3,-0.57
2011,February,2,-10.45
2011,January,1,-3.77
2010,December,12,1.72
2010,November,11,-2.16
2010,October,10,1.17
2010,September,9,5.07
2010,August,8,4.49
2010,July,7,2.87
2010,June,6,-0.88
2010,May,5,-3.02
2010,April,4,-4.41
2010,March,3,-0.7
2010,February,2,-11.63
2010,January,1,-5.76
2009,December,12,-0.93
2009,November,11,-7.26
2009,October,10,0.59
2009,September,9,4.48
2009,August,8,3.65
2009,July,7,5.85
2009,June,6,-0.5
2009,May,5,-1.03
2009,April,4,-3.54
2009,March,3,-0.75
2009,February,2,-9.7
2009,January,1,-4.1
2008,December,12,-0.04
2008,November,11,-8.53
2008,October,10,0.39
2008,September,9,2.94
2008,August,8,4.47
2008,July,7,4.63
2008,June,6,-2.94
2008,May,5,-1.44
2008,April,4,-3.95
2008,March,3,-2.61
2008,February,2,-6.18
2008,January,1,-0.95
2007,December,12,-1.42
2007,November,11,-1.7
2007,October,10,2.71
